PhotoID,CameraModel,LensID,ShutterSpeedValue,ApertureValue,ISO,FocalLength,FocalLengthIn35mmFormat,SubjectDistance,eyeglasses,head_accessory,ear_obstruct,makeup,facialhair,face_decor,head_tilt,head_lift,head_turn,BirthYear,Age_atphoto,Gender,Nationality,Weight,Height,fWHR,M_attractiveness,SD_attractiveness,M_dominance,SD_dominance,M_femininity,SD_femininity,M_masculinity,SD_masculinity,M_trustworthiness,SD_trustworthiness,M_Turkishness,SD_Turkishness,GM_DA,GM_MF
22,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,0,0,0,0,0,0,1996,20,Female,Turkish,45,160,2.175636627,1.885245902,1.198587511,4.915254237,1.783914096,3.271186441,1.617048274,3.491525424,1.822965388,2.966666667,1.572719405,4.316666667,0.791729852,0.044554565,-0.029706419
23,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,1,0,0,0,1996,20,Female,Turkish,40,152,2.267430036,1.634920635,0.866985644,5.209677419,1.494658213,2.790322581,1.438773348,5.112903226,1.699612672,3.467741935,1.596284024,4.177419355,0.87822835,0.057463478,-0.00901021
29,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,2,0,0,0,0,0,1996,20,Female,Turkish,65,170,2.119711023,2,1.066738503,4.316666667,1.589069301,3.333333333,1.457495724,3.836065574,1.724145468,3.295081967,1.370453238,4.2,0.776781714,0.045023453,-0.007374782
33,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,92.0 mm,138 mm,2.82 m,0,0,1,2,0,0,0,0,0,1995,21,Female,Turkish,57,170,1.970176647,4.107142857,1.5571369,4.508474576,1.454752987,4.678571429,1.363246698,2.160714286,1.486628715,4.964912281,1.375355958,4.071428571,0.828078671,0.030241678,-0.014554356
37,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,80.0 mm,120 mm,2.82 m,0,0,1,2,0,0,2,0,1,1996,20,Female,Turkish,57,159,1.962332335,4.515625,3.333296131,3.419354839,1.361633386,3.555555556,1.38863797,3.193548387,1.534720669,4.19047619,1.446432127,4.064516129,0.920993187,0.033671688,-0.000783065
39,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1996,20,Female,Turkish,48,168,1.859459925,3.322580645,3.150717813,3.15,1.505076157,3.033333333,1.687106305,3.213114754,1.789923221,3.737704918,1.504456041,3.180327869,1.087936835,0.045809594,-0.021254527
43,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,2,0,1,0,0,0,1996,20,Female,Turkish,53,160,1.891338851,4.410714286,2.781607029,2.824561404,1.501461277,4.381818182,1.592702212,1.807017544,1.301628053,4.696428571,1.583088384,3.490909091,0.997640314,0.045057797,-0.02997343
46,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,2,0,0,0,0,0,1996,20,Female,Turkish,53,158,2.0156164,4.15,2.420428594,4.586206897,1.48719072,4.389830508,1.438593053,2.6,1.304490289,3.586206897,1.533651562,3.983606557,0.763583728,0.038639455,-0.007757771
47,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,1,0,1,1,0,0,1995,21,Female,Turkish,55,160,2.080504615,2.540983607,1.397304196,3.157894737,1.461279695,3.728813559,1.375029887,2.816666667,1.383825044,3.966101695,1.575306229,3.614035088,0.921070533,0.042471734,0.001611604
53,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,1,0,0,0,0,0,1996,20,Female,Turkish,46,163,1.937470358,2.192982456,1.23112313,2.711864407,1.671782524,3.637931034,1.629748402,1.898305085,1.28243996,4.25862069,1.802146331,3.793103448,0.950689882,0.050910064,-0.037015002
61,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,10,125,105.0 mm,157 mm,2.82 m,0,0,1,1,0,0,0,0,0,1996,20,Female,Turkish,48,160,2.045602701,3.462962963,1.656467746,3.267857143,1.355005152,4.509433962,1.514324443,1.925925926,1.163142326,4.418181818,1.461745647,3.150943396,1.045065813,0.032547602,-0.014371533
62,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,10,125,105.0 mm,157 mm,2.82 m,0,1,2,0,0,0,0,0,0,1996,20,Female,Turkish,68,175,1.969761434,2.102941176,1.173586236,2.753846154,1.521006752,2.878787879,1.493732048,3.417910448,1.661956256,3.560606061,1.314168797,4.147058824,0.868429804,0.039330814,-0.020255285
65,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,1,2,0,0,1,0,0,0,1995,21,Female,Turkish,66,165,1.922782239,1.65,1.038659501,2.903225806,1.616611285,2.383333333,1.378917122,4.2,1.72518729,3.033333333,1.540049159,3.783333333,1.043001969,0.044429386,-0.021537182
66,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,1,0,0,0,0,0,1996,20,Female,Turkish,45,160,1.951660913,4.532258065,1.666622598,4.14516129,1.566522453,5.467741935,1.387505628,1.677419355,1.052307278,3.163934426,1.142808352,3.222222222,1.142216923,0.039250179,-0.03376859
69,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1995,21,Female,Turkish,48,158,1.90753797,2.620689655,1.361469616,3.607142857,1.435631903,4.037037037,1.331235247,2.824561404,1.525062142,3.892857143,1.5571369,4.206896552,0.74359536,0.028049165,-0.035423472
73,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,1,1,0,0,0,0,0,0,1996,20,Female,Turkish,48,168,2.019883434,2.298245614,1.281250955,3.344827586,1.670714987,3.438596491,1.309546594,3.109090909,1.499045712,3.775862069,1.56769026,3.649122807,1.093670557,0.047460925,-0.000606321
74,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,0,2,0,2,0,0,0,1991,25,Female,Turkish,,,1.755264105,2.203389831,1.256427077,3.525423729,1.418546271,3.683333333,1.620751726,3.271186441,1.700207984,3.393442623,1.463770115,4.122807018,0.983255806,0.053543127,0.009143746
